Range	Pass	Genotype
9	17	B73/PHW30-207 - (2n)-01
9	18	PHW30/Mo17-157 - (2n)-02
9	19	B73/PHW30-316 - (2n)-01
9	20	Mo17/PHW30-153 - (2n)-03
9	21	PHW30/Mo17-141 - (2n)-02
9	22	PHW30/B73-289 - (2n)-01
9	23	PHW30/B73-292 - (2n)-01
9	24	PHW30/B73-193 - (2n)-01
9	25	B73/PHW30-396 - (2n)-01
9	26	B73/PHW30-068 - (2n)-02
9	27	PHW30/Mo17-178 - (2n)-01
9	28	PHW30/Mo17-315 - (2n)-02
9	29	PHW30/Mo17-195 - (2n)-01
9	30	Mo17/PHW30-160 - (2n)-02
9	31	PHW30/B73-184 - (2n)-01
9	32	PHW30/B73-138 - (2n)-01
10	1	PHW30/Mo17-242 - (2n)-02
10	2	PHW30/B73-341 - (2n)-02
10	3	B73/PHW30-064 - (2n)-02
10	4	Mo17/PHW30-094 - (2n)-01
10	5	B73/PHW30-237 - (2n)-02
10	6	Mo17/PHW30-332 - (2n)-01
10	7	Mo17/PHW30-321 - (2n)-01
10	8	Mo17/PHW30-262 - (2n)-02
10	9	B73
10	10	PHW30/Mo17-161 - (2n)-02
10	11	Mo17/PHW30-013 - (2n)-02
10	12	B73/PHW30-348 - (2n)-01
10	13	Mo17/PHW30-341 - (2n)-01
10	14	PHW30/B73-143 - (2n)-01
10	15	PHW30/Mo17-142 - (2n)-01
10	16	B73/PHW30-412 - (2n)-01
10	17	Mo17/PHW30-075 - (2n)-01
10	18	PHW30/Mo17-064 - (2n)-02
10	19	Mo17/PHW30-089 - (2n)-02
10	20	Mo17/PHW30-235 - (2n)-01
10	21	Mo17
10	22	B73/PHW30-412 - (2n)-02
10	23	Mo17/PHW30-091 - (2n)-01
10	24	Mo17/PHW30-091 - (2n)-02
10	25	PHW30
10	26	Mo17/PHW30-389 - (2n)-02
10	27	Mo17/PHW30-044 - (2n)-01
10	28	PHW30/B73-326 - (2n)-02
10	29	Mo17/PHW30-013 - (2n)-01
10	30	B73/PHW30-302 - (2n)-02
10	31	Mo17/PHW30-275 - (2n)-01
10	32	Mo17/PHW30-429 - (2n)-02
11	1	PHW30/B73-157 - (2n)-03
11	2	PHW30/Mo17-113 - (2n)-01
11	3	Mo17/PHW30-184 - (2n)-02
11	4	PHW30/B73-139 - (2n)-01
11	5	PHW30/Mo17-234 - (2n)-02
11	6	PHW30/B73-060 - (2n)-01
11	7	Mo17/PHW30-248 - (2n)-02
11	8	PHW30/Mo17-194 - (2n)-02
11	9	PHW30/Mo17-054 - (2n)-01
11	10	B73
11	11	PHW30
11	12	PHW30/Mo17-139 - (2n)-02
11	13	Mo17/PHW30-281 - (2n)-01
11	14	PHW30/B73-066 - (2n)-02
11	15	B73/PHW30-196 - (2n)-01
11	16	Mo17/PHW30-200 - (2n)-01
11	17	PHW30/B73-002 - (2n)-02
11	18	PHW30/Mo17-003 - (2n)-01
11	19	Mo17
11	20	B73/PHW30-288 - (2n)-01
11	21	PHW30/Mo17-110 - (2n)-03
11	22	PHW30/Mo17-076 - (2n)-02
